TransactionID,CustomerID,Date,Time,EventName,Venue,TicketClass,TicketPrice,NumberOfTickets,TotalAmount,DiscountPercentage,ServiceFee,FinalAmount,PaymentMode,IsOnlineBooking
7VR2GDAU9F,92458671,2024-09-12,15:41,Theater Production,Grand Theater,Regular,147.83,1,147.83,0.0,11.41,147.83,UPI,True
60RKNQIYMJ,53761204,2024-09-28,22:53,Comedy Night,City Arena,Silver,273.41,2,546.82,0.0,33.91,546.82,Credit Card,True
ETMWYAQ4D6,46981752,2024-09-26,19:37,Dance Performance,Sports Stadium,Silver,245.29,1,245.29,0.0,18.89,245.29,Debit Card,False
UCNG90WDET,74362815,2024-10-13,20:10,Theater Production,Community Hall,Regular,123.57,3,370.71,0.0,30.68,370.71,Credit Card,True
WLF15J69NI,41892736,2024-10-02,14:49,Summer Music Festival,Sports Stadium,Regular,157.92,3,473.76,0.0,25.21,473.76,Wallet,True
FTX357C8YE,19867354,2024-10-08,13:22,Dance Performance,University Auditorium,Regular,176.25,2,352.5,10.0,23.63,317.25,UPI,True
H1KYF4AU0W,63459018,2024-09-23,10:07,Food Festival,Convention Center,Gold,483.72,1,483.72,0.0,40.85,483.72,Credit Card,True
05NQSM2KBP,27586403,2024-09-29,15:18,Summer Music Festival,City Arena,Regular,127.65,1,127.65,0.0,12.09,127.65,Cash,False
5P0T624RQJ,80514763,2024-09-19,14:56,Charity Gala,Community Hall,Premium,826.34,1,826.34,0.0,41.28,826.34,UPI,True
QBEL7H392Z,21396485,2024-09-21,12:30,Dance Performance,University Auditorium,Premium,739.67,1,739.67,0.0,43.72,739.67,UPI,True
C1K6JS5V38,38526497,2024-10-18,11:56,Film Screening,Riverfront Plaza,Regular,139.46,2,278.92,0.0,20.76,278.92,Debit Card,True
4VMU7WRXJ1,85729641,2024-09-24,13:38,Tech Conference,University Auditorium,Silver,302.59,1,302.59,0.0,22.99,302.59,Net Banking,True
0ZHCDM3N5F,46018329,2024-09-10,11:16,Tech Conference,Grand Theater,Silver,226.19,2,452.38,10.0,23.45,407.14,Credit Card,True
U9QL1B43DK,25493807,2024-09-21,14:42,Dance Performance,Riverfront Plaza,Regular,164.52,2,329.04,0.0,22.43,329.04,Debit Card,True
A1LKRT8Y3V,64315927,2024-09-24,22:07,Tech Conference,Central Park,Regular,158.34,1,158.34,0.0,12.95,158.34,UPI,True
ZRFJ39TV0P,53928410,2024-10-05,17:04,Art Exhibition,Central Park,Regular,182.54,3,547.62,15.0,31.89,465.48,Debit Card,True
QY3UF18LH5,98743065,2024-09-18,17:30,Summer Music Festival,Sports Stadium,Regular,190.25,1,190.25,0.0,16.58,190.25,UPI,True
PFJ9U5IATX,36542107,2024-10-06,20:01,Summer Music Festival,Central Park,Regular,163.47,1,163.47,0.0,9.22,163.47,UPI,True
R3N7AE0UID,72905316,2024-10-08,19:23,Sports Match,Sports Stadium,Silver,314.08,1,314.08,0.0,29.18,314.08,Credit Card,True
Z0LTE6B2KP,62084317,2024-09-28,22:04,Theater Production,Central Park,Silver,333.79,3,1001.37,15.0,83.82,851.16,UPI,True
CQX05LBKGZ,48950267,2024-09-15,16:14,Food Festival,City Arena,Premium,691.88,1,691.88,0.0,63.55,691.88,Debit Card,True
0ME82FYGDH,13954278,2024-10-19,17:39,Charity Gala,City Arena,Gold,376.27,3,1128.81,0.0,97.17,1128.81,Credit Card,True
U9DLZPAS65,69785230,2024-09-09,19:30,Tech Conference,City Arena,Silver,249.39,1,249.39,0.0,20.18,249.39,UPI,True
