,AQI Level,Cabon_dioxide PPM,Health_Level,Visibility_Level
0,372,1599,Hazardous,Extremely Poor Visibility
1,1,385,Good,Clear
2,160,844,Unhealthy,Poor Visibility
3,304,1567,Hazardous,Extremely Poor Visibility
4,389,1543,Hazardous,Extremely Poor Visibility
5,326,1659,Hazardous,Extremely Poor Visibility
6,479,1526,Hazardous,Extremely Poor Visibility
7,307,1590,Hazardous,Extremely Poor Visibility
8,29,405,Good,Clear
9,500,1656,Hazardous,Extremely Poor Visibility
10,448,1682,Hazardous,Extremely Poor Visibility
11,339,1633,Hazardous,Extremely Poor Visibility
12,18,441,Good,Clear
13,208,1093,Very_Unhealthy,Very Poor Visibility
14,276,1470,Very_Unhealthy,Very Poor Visibility
15,257,1310,Very_Unhealthy,Very Poor Visibility
16,237,1459,Very_Unhealthy,Very Poor Visibility
17,113,790,Moderate_Bad,Hazy
18,209,1006,Very_Unhealthy,Very Poor Visibility
19,6,401,Good,Clear
20,163,812,Unhealthy,Poor Visibility
21,157,829,Unhealthy,Poor Visibility
22,81,498,Moderate,Slightly Hazy
23,2,400,Good,Clear
24,79,573,Moderate,Slightly Hazy
25,72,490,Moderate,Slightly Hazy
26,117,714,Moderate_Bad,Hazy
27,278,1468,Very_Unhealthy,Very Poor Visibility
28,82,503,Moderate,Slightly Hazy
29,468,1631,Hazardous,Extremely Poor Visibility
30,10,413,Good,Clear
31,217,1301,Very_Unhealthy,Very Poor Visibility
32,113,631,Moderate_Bad,Hazy
33,458,1568,Hazardous,Extremely Poor Visibility
34,197,816,Unhealthy,Poor Visibility
35,265,1114,Very_Unhealthy,Very Poor Visibility
36,300,1007,Very_Unhealthy,Very Poor Visibility
37,107,792,Moderate_Bad,Hazy
38,319,1579,Hazardous,Extremely Poor Visibility
39,230,1461,Very_Unhealthy,Very Poor Visibility
40,155,872,Unhealthy,Poor Visibility
41,151,906,Unhealthy,Poor Visibility
42,326,1541,Hazardous,Extremely Poor Visibility
43,320,1695,Hazardous,Extremely Poor Visibility
44,46,350,Good,Clear
45,414,1537,Hazardous,Extremely Poor Visibility
46,128,711,Moderate_Bad,Hazy
47,471,1681,Hazardous,Extremely Poor Visibility
48,441,1541,Hazardous,Extremely Poor Visibility
49,192,939,Unhealthy,Poor Visibility
50,288,1206,Very_Unhealthy,Very Poor Visibility
51,236,1402,Very_Unhealthy,Very Poor Visibility
52,0,410,Good,Clear
53,117,712,Moderate_Bad,Hazy
54,247,1186,Very_Unhealthy,Very Poor Visibility
55,28,375,Good,Clear
56,338,1519,Hazardous,Extremely Poor Visibility
57,153,897,Unhealthy,Poor Visibility
58,211,1420,Very_Unhealthy,Very Poor Visibility
59,179,868,Unhealthy,Poor Visibility
60,286,1282,Very_Unhealthy,Very Poor Visibility
61,172,877,Unhealthy,Poor Visibility
62,412,1548,Hazardous,Extremely Poor Visibility
63,158,871,Unhealthy,Poor Visibility
64,278,1475,Very_Unhealthy,Very Poor Visibility
65,377,1637,Hazardous,Extremely Poor Visibility
66,40,370,Good,Clear
67,348,1502,Hazardous,Extremely Poor Visibility
68,281,1107,Very_Unhealthy,Very Poor Visibility
69,420,1558,Hazardous,Extremely Poor Visibility
70,201,1068,Very_Unhealthy,Very Poor Visibility
71,8,394,Good,Clear
72,392,1553,Hazardous,Extremely Poor Visibility
73,135,682,Moderate_Bad,Hazy
74,336,1515,Hazardous,Extremely Poor Visibility
75,204,1058,Very_Unhealthy,Very Poor Visibility
76,90,461,Moderate,Slightly Hazy
77,55,579,Moderate,Slightly Hazy
78,7,371,Good,Clear
79,214,1058,Very_Unhealthy,Very Poor Visibility
80,115,623,Moderate_Bad,Hazy
81,418,1539,Hazardous,Extremely Poor Visibility
82,467,1579,Hazardous,Extremely Poor Visibility
83,325,1686,Hazardous,Extremely Poor Visibility
84,190,899,Unhealthy,Poor Visibility
85,348,1642,Hazardous,Extremely Poor Visibility
86,171,872,Unhealthy,Poor Visibility
87,461,1593,Hazardous,Extremely Poor Visibility
88,424,1696,Hazardous,Extremely Poor Visibility
89,268,1287,Very_Unhealthy,Very Poor Visibility
90,264,1345,Very_Unhealthy,Very Poor Visibility
91,114,762,Moderate_Bad,Hazy
92,41,417,Good,Clear
93,486,1670,Hazardous,Extremely Poor Visibility
94,152,902,Unhealthy,Poor Visibility
95,85,474,Moderate,Slightly Hazy
96,55,522,Moderate,Slightly Hazy
97,100,493,Moderate,Slightly Hazy
98,431,1523,Hazardous,Extremely Poor Visibility
99,255,1330,Very_Unhealthy,Very Poor Visibility
100,464,1552,Hazardous,Extremely Poor Visibility
101,428,1561,Hazardous,Extremely Poor Visibility
102,71,495,Moderate,Slightly Hazy
103,385,1637,Hazardous,Extremely Poor Visibility
104,268,1473,Very_Unhealthy,Very Poor Visibility
105,488,1645,Hazardous,Extremely Poor Visibility
106,372,1552,Hazardous,Extremely Poor Visibility
107,427,1503,Hazardous,Extremely Poor Visibility
108,10,408,Good,Clear
109,126,788,Moderate_Bad,Hazy
110,442,1504,Hazardous,Extremely Poor Visibility
111,349,1523,Hazardous,Extremely Poor Visibility
112,443,1582,Hazardous,Extremely Poor Visibility
113,398,1603,Hazardous,Extremely Poor Visibility
114,304,1605,Hazardous,Extremely Poor Visibility
115,161,845,Unhealthy,Poor Visibility
116,339,1633,Hazardous,Extremely Poor Visibility
117,110,764,Moderate_Bad,Hazy
118,195,870,Unhealthy,Poor Visibility
119,224,1277,Very_Unhealthy,Very Poor Visibility
